frame.go_id	frame.Evidance	frame.gene_id
GO:0009055	ISA	Potri.017G081600
GO:0015035	ISA	Potri.017G081600
GO:0045454	ISA	Potri.017G081600
GO:0008270	ISA	Potri.001G368100
GO:0070403	ISA	Potri.001G368100
GO:0006476	ISA	Potri.001G368100
GO:0006342	ISA	Potri.001G368100
GO:0006355	ISA	Potri.001G368100
GO:0016811	ISA	Potri.001G368100
GO:0008270	ISA	Potri.018G142700
GO:0016491	ISA	Potri.018G142700
GO:0055114	ISA	Potri.018G142700
GO:0015979	ISA	Potri.016G094100
GO:0009522	ISA	Potri.016G094100
GO:0016021	ISA	Potri.016G094100
GO:0016491	ISA	Potri.015G065600
GO:0008152	ISA	Potri.015G065600
GO:0003824	ISA	Potri.015G065600
GO:0050662	ISA	Potri.015G065600
GO:0044237	ISA	Potri.015G065600
GO:0006355	ISA	Potri.016G051100
GO:0030528	ISA	Potri.016G051100
GO:0004672	ISA	Potri.007G004200
GO:0005524	ISA	Potri.007G004200
GO:0006468	ISA	Potri.007G004200
GO:0005488	ISA	Potri.007G004200
GO:0016491	ISA	Potri.011G134100
GO:0016706	ISA	Potri.011G134100
GO:0055114	ISA	Potri.011G134100
GO:0016620	ISA	Potri.002G214800
GO:0055114	ISA	Potri.002G214800
GO:0003747	ISA	Potri.003G115300
GO:0006415	ISA	Potri.003G115300
GO:0008270	ISA	Potri.008G011800
GO:0003735	ISA	Potri.006G243300
GO:0006412	ISA	Potri.006G243300
GO:0005622	ISA	Potri.006G243300
GO:0005840	ISA	Potri.006G243300
GO:0005506	ISA	Potri.011G117600
GO:0009055	ISA	Potri.011G117600
GO:0016705	ISA	Potri.011G117600
GO:0020037	ISA	Potri.011G117600
GO:0055114	ISA	Potri.011G117600
GO:0005524	ISA	Potri.015G142900
GO:0030983	ISA	Potri.015G142900
GO:0006298	ISA	Potri.015G142900
GO:0016491	ISA	Potri.006G022000
GO:0008152	ISA	Potri.006G022000
GO:0003854	ISA	Potri.006G022000
GO:0016616	ISA	Potri.006G022000
GO:0006694	ISA	Potri.006G022000
GO:0005515	ISA	Potri.002G232800
GO:0005634	ISA	Potri.002G232800
GO:0003677	ISA	Potri.002G232800
GO:0005515	ISA	Potri.005G252600
GO:0003677	ISA	Potri.005G252600
GO:0005515	ISA	Potri.004G100700
GO:0003684	ISA	Potri.004G100700
GO:0006289	ISA	Potri.004G100700
GO:0043161	ISA	Potri.004G100700
GO:0009058	ISA	Potri.016G112600
GO:0046872	ISA	Potri.006G135800
GO:0003824	ISA	Potri.019G075300
GO:0050662	ISA	Potri.019G075300
GO:0044237	ISA	Potri.019G075300
GO:0016620	ISA	Potri.019G075300
GO:0055114	ISA	Potri.019G075300
GO:0008831	ISA	Potri.019G075300
GO:0045226	ISA	Potri.019G075300
GO:0003697	ISA	Potri.001G394200
GO:0004550	ISA	Potri.002G138800
GO:0005524	ISA	Potri.002G138800
GO:0006165	ISA	Potri.002G138800
GO:0006183	ISA	Potri.002G138800
GO:0006228	ISA	Potri.002G138800
GO:0006241	ISA	Potri.002G138800
GO:0003824	ISA	Potri.006G078200
GO:0008152	ISA	Potri.006G078200
GO:0016874	ISA	Potri.006G078200
GO:0005524	ISA	Potri.006G078200
GO:0008716	ISA	Potri.006G078200
GO:0008466	ISA	Potri.019G051700
GO:0016758	ISA	Potri.019G051700
GO:0007047	ISA	Potri.019G051700
GO:0030244	ISA	Potri.019G051700
GO:0005618	ISA	Potri.019G051700
GO:0030054	ISA	Potri.019G051700
GO:0005515	ISA	Potri.005G214400
GO:0004672	ISA	Potri.008G116800
GO:0005524	ISA	Potri.008G116800
GO:0006468	ISA	Potri.008G116800
GO:0004857	ISA	Potri.006G134900
GO:0030599	ISA	Potri.006G134900
GO:0006506	ISA	Potri.003G184600
GO:0005789	ISA	Potri.003G184600
GO:0016021	ISA	Potri.003G184600
GO:0003677	ISA	Potri.015G098400
GO:0046983	ISA	Potri.015G098400
GO:0003700	ISA	Potri.015G098400
GO:0005634	ISA	Potri.015G098400
GO:0006355	ISA	Potri.015G098400
GO:0043565	ISA	Potri.015G098400
GO:0005515	ISA	Potri.016G003900
GO:0055114	ISA	Potri.006G022000
GO:0003824	ISA	Potri.006G022000
GO:0050662	ISA	Potri.006G022000
GO:0044237	ISA	Potri.006G022000
GO:0009058	ISA	Potri.006G022000
GO:0008831	ISA	Potri.006G022000
GO:0045226	ISA	Potri.006G022000
GO:0003978	ISA	Potri.006G022000
GO:0006012	ISA	Potri.006G022000
GO:0005634	ISA	Potri.006G205600
GO:0004516	ISA	Potri.007G045400
GO:0009435	ISA	Potri.007G045400
GO:0005737	ISA	Potri.007G045400
GO:0019363	ISA	Potri.007G045400
GO:0005515	ISA	Potri.001G219500
GO:0003830	ISA	Potri.001G343600
GO:0006487	ISA	Potri.001G343600
GO:0016020	ISA	Potri.001G343600
GO:0003676	ISA	Potri.006G241800
GO:0004553	ISA	Potri.002G236200
GO:0005975	ISA	Potri.002G236200
GO:0016762	ISA	Potri.002G236200
GO:0006073	ISA	Potri.002G236200
GO:0005618	ISA	Potri.002G236200
GO:0048046	ISA	Potri.002G236200
GO:0008168	ISA	Potri.006G278500
GO:0006364	ISA	Potri.006G278500
GO:0005737	ISA	Potri.006G278500
GO:0016740	ISA	Potri.006G281000
GO:0008168	ISA	Potri.006G281000
GO:0005737	ISA	Potri.006G281000
GO:0010044	ISA	Potri.001G217200
GO:0005515	ISA	Potri.001G219700
GO:0004672	ISA	Potri.015G146700
GO:0005524	ISA	Potri.015G146700
GO:0006468	ISA	Potri.015G146700
GO:0003700	ISA	Potri.006G053500
GO:0006355	ISA	Potri.006G053500
GO:0005634	ISA	Potri.006G053500
GO:0005515	ISA	Potri.008G074200
GO:0008270	ISA	Potri.010G003500
GO:0016787	ISA	Potri.010G003500
GO:0003700	ISA	Potri.009G017400
GO:0043565	ISA	Potri.009G017400
GO:0006355	ISA	Potri.009G017400
GO:0003677	ISA	Potri.009G017400
GO:0005634	ISA	Potri.009G017400
GO:0003824	ISA	Potri.019G103100
GO:0005524	ISA	Potri.003G197200
GO:0016887	ISA	Potri.003G197200
GO:0042626	ISA	Potri.003G197200
GO:0006810	ISA	Potri.003G197200
GO:0055085	ISA	Potri.003G197200
GO:0016021	ISA	Potri.003G197200
GO:0006396	ISA	Potri.012G093000
GO:0008889	ISA	Potri.001G360800
GO:0006071	ISA	Potri.001G360800
GO:0005515	ISA	Potri.002G052900
GO:0005506	ISA	Potri.009G064800
GO:0009055	ISA	Potri.009G064800
GO:0016705	ISA	Potri.009G064800
GO:0020037	ISA	Potri.009G064800
GO:0055114	ISA	Potri.009G064800
GO:0016760	ISA	Potri.002G200300
GO:0030244	ISA	Potri.002G200300
GO:0016020	ISA	Potri.002G200300
GO:0015031	ISA	Potri.018G069900
GO:0003779	ISA	Potri.006G235200
GO:0007010	ISA	Potri.006G235200
GO:0015629	ISA	Potri.006G235200
GO:0030036	ISA	Potri.006G235200
GO:0016787	ISA	Potri.003G060300
GO:0004806	ISA	Potri.003G060300
GO:0016042	ISA	Potri.003G060300
GO:0004672	ISA	Potri.009G073200
GO:0005524	ISA	Potri.009G073200
GO:0006468	ISA	Potri.009G073200
GO:0005515	ISA	Potri.010G160700
GO:0003676	ISA	Potri.002G062700
GO:0003723	ISA	Potri.002G062700
GO:0004871	ISA	Potri.008G197600
GO:0000160	ISA	Potri.008G197600
GO:0008168	ISA	Potri.003G102400
GO:0008152	ISA	Potri.003G102400
GO:0005515	ISA	Potri.018G020200
GO:0005506	ISA	Potri.001G270400
GO:0009055	ISA	Potri.001G270400
GO:0016705	ISA	Potri.001G270400
GO:0020037	ISA	Potri.001G270400
GO:0055114	ISA	Potri.001G270400
GO:0006355	ISA	Potri.005G221100
GO:0030528	ISA	Potri.005G221100
GO:0004672	ISA	Potri.002G129100
GO:0005524	ISA	Potri.002G129100
GO:0006468	ISA	Potri.002G129100
GO:0016620	ISA	Potri.002G220400
GO:0055114	ISA	Potri.002G220400
GO:0005509	ISA	Potri.010G210000
GO:0015979	ISA	Potri.010G210000
GO:0009523	ISA	Potri.010G210000
GO:0009654	ISA	Potri.010G210000
GO:0019898	ISA	Potri.010G210000
GO:0003824	ISA	Potri.007G090900
GO:0005992	ISA	Potri.007G090900
GO:0043531	ISA	Potri.T002900
GO:0005515	ISA	Potri.T002900
GO:0007165	ISA	Potri.T002900
GO:0005622	ISA	Potri.T002900
GO:0005524	ISA	Potri.T002900
GO:0006915	ISA	Potri.T002900
GO:0004888	ISA	Potri.T002900
GO:0031224	ISA	Potri.T002900
GO:0045087	ISA	Potri.T002900
GO:0008236	ISA	Potri.001G213200
GO:0006508	ISA	Potri.001G213200
GO:0003677	ISA	Potri.007G065400
GO:0006355	ISA	Potri.007G065400
GO:0003735	ISA	Potri.007G085200
GO:0006412	ISA	Potri.007G085200
GO:0015934	ISA	Potri.007G085200
GO:0004222	ISA	Potri.001G340700
GO:0008270	ISA	Potri.001G340700
GO:0006508	ISA	Potri.001G340700
GO:0031012	ISA	Potri.001G340700
GO:0004650	ISA	Potri.008G100500
GO:0005975	ISA	Potri.008G100500
GO:0005737	ISA	Potri.003G159000
GO:0006415	ISA	Potri.003G159000
GO:0016149	ISA	Potri.003G159000
GO:0003824	ISA	Potri.019G102700
GO:0051536	ISA	Potri.019G102700
GO:0009107	ISA	Potri.019G102700
GO:0016992	ISA	Potri.019G102700
GO:0051539	ISA	Potri.019G102700
GO:0003676	ISA	Potri.006G224900
GO:0055085	ISA	Potri.008G129400
GO:0016021	ISA	Potri.008G129400
GO:0009055	ISA	Potri.014G018300
GO:0016491	ISA	Potri.014G018300
GO:0055114	ISA	Potri.014G018300
GO:0003824	ISA	Potri.003G183800
GO:0010181	ISA	Potri.003G004600
GO:0016491	ISA	Potri.003G004600
GO:0055114	ISA	Potri.003G004600
GO:0003824	ISA	Potri.005G251000
GO:0043169	ISA	Potri.005G251000
